,longitude,latitude,thickness
512,-27.5,88.5,3.0
513,-26.5,88.5,3.0
514,-25.5,88.5,3.0
515,-24.5,88.5,3.0
516,-23.5,88.5,3.0
517,-22.5,88.5,3.0
518,-21.5,88.5,3.0
519,-20.5,88.5,3.0
520,-19.5,88.5,3.0
521,-18.5,88.5,3.0
522,-17.5,88.5,3.0
523,-16.5,88.5,3.0
524,-15.5,88.5,3.0
525,-14.5,88.5,3.0
526,-13.5,88.5,3.0
527,-12.5,88.5,3.0
528,-11.5,88.5,3.0
529,-10.5,88.5,3.0
530,-9.5,88.5,3.0
531,-8.5,88.5,3.0
532,-7.5,88.5,3.0
533,-6.5,88.5,3.0
534,-5.5,88.5,3.0
535,-4.5,88.5,3.0
536,-3.5,88.5,3.0
537,-2.5,88.5,3.0
538,-1.5,88.5,3.0
539,-0.5,88.5,3.0
540,0.5,88.5,3.0
541,1.5,88.5,3.0
542,2.5,88.5,3.0
543,3.5,88.5,3.0
544,4.5,88.5,3.0
545,5.5,88.5,3.0
546,6.5,88.5,3.0
547,7.5,88.5,3.0
548,8.5,88.5,3.0
549,9.5,88.5,3.0
550,10.5,88.5,3.0
551,11.5,88.5,3.0
552,12.5,88.5,3.0
553,13.5,88.5,3.0
554,14.5,88.5,3.0
555,15.5,88.5,3.0
556,16.5,88.5,3.0
557,17.5,88.5,3.0
558,18.5,88.5,3.0
559,19.5,88.5,3.0
560,20.5,88.5,3.0
561,21.5,88.5,3.0
562,22.5,88.5,3.0
563,23.5,88.5,3.0
564,24.5,88.5,3.0
565,25.5,88.5,3.0
566,26.5,88.5,3.0
567,27.5,88.5,3.0
568,28.5,88.5,3.0
569,29.5,88.5,3.0
570,30.5,88.5,3.0
571,31.5,88.5,3.0
572,32.5,88.5,3.0
573,33.5,88.5,3.0
574,34.5,88.5,3.0
575,35.5,88.5,3.0
576,36.5,88.5,3.0
577,37.5,88.5,3.0
578,38.5,88.5,3.0
579,39.5,88.5,3.0
580,40.5,88.5,3.0
581,41.5,88.5,3.0
582,42.5,88.5,3.0
583,43.5,88.5,3.0
584,44.5,88.5,3.0
585,45.5,88.5,3.0
586,46.5,88.5,3.0
